Team1, Team2, Score1, Score2, WinningTeam
Milwaukee Brewers, Miami Marlins, 6, 2, 1
Washington Nationals, New York Yankees, 3, 4, 2
Arizona D'Backs, New York Mets, 2, 4, 2
Tampa Bay Rays, Oakland Athletics, 3, 6, 2
San Diego Padres, San Francisco Giants, 1, 7, 2
Colorado Rockies, St. Louis Cardinals, 8, 9, 2
Seattle Mariners, Texas Rangers, 8, 9, 2
Los Angeles Dodgers, Los Angeles Angels, 1, 2, 2
Philadelphia Phillies, Atlanta Braves, 1, 6, 2
Boston Red Sox, Baltimore Orioles, 4, 3, 1
Pittsburgh Pirates, Chicago Cubs, 6, 5, 1
Toronto Blue Jays, Houston Astros, 4, 7, 2
Chicago White Sox, Kansas City Royals, 9, 3, 1
Milwaukee Brewers, Miami Marlins, 2, 1, 1
